threshold,precision,recall,f1,false_positive_count,false_negative_count
0.3,0.9786426198386331,0.9975810353168844,0.9880210828941064,45,5
0.4,0.9842180774748924,0.9956458635703919,0.98989898989899,33,9
0.5,0.9865513928914506,0.9937106918238994,0.990118100747168,28,13
0.6,0.9889103182256509,0.99225931301403,0.9905819850277711,23,16
0.7,0.9903147699757869,0.9893565553942912,0.989835430784124,20,22
0.8,0.9936055090998525,0.9772617319787131,0.9853658536585366,13,47
0.9,0.9975,0.965166908563135,0.9810671256454389,5,72
